Fold,Accuracy,Pearson Coefficient,MSE
1,1.0,0.9999999999999993,0.0
2,0.9666666666666667,0.9740371222046305,0.03333333333333333
3,0.9333333333333333,0.9564524048830393,0.06666666666666667
4,0.9666666666666667,0.9748691893112665,0.03333333333333333
5,0.9333333333333333,0.9449541284403665,0.06666666666666667
Mean,0.9600000000000002,0.9700625689678605,0.04
